"Sample_ID","Study_ID","Platform_Type","Timepoint","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Shannon_H"
"MBRA_S1","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.582961208699271,0.485604708094615,0.0427735544322059,0.0302682182355784,0.926099559785092
"MBRA_S2","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.587415082659572,0.370806525158696,0.0461462950985879,0.0394845159375109,0.952948654676743
"MBRA_S3","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.457227906957269,0.498333759338129,0.0222458619717509,0.0327863280265592,0.902697288185675
"MBRA_S4","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.566089525213465,0.492000234883744,0.0784123948263004,0.0269946527224965,0.983575492531731
"MBRA_S5","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.528349103778601,0.362365633714944,0.0459050749335438,0.0354906915570609,0.964245932763369
"MBRA_S6","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.503819189826027,0.427131767652463,0.0774545957986265,0.0156842180620879,0.972974346716827
"MBRA_S7","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.547317662928253,0.408530520065688,0.0732652943301946,0.0181385984411463,0.962678872629512
"MBRA_S8","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.426933319447562,0.485860719636548,0.0583987261680886,0.0348447545571253,0.996969608584619
"MBRA_S9","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.531398458080366,0.417045444215182,0.0782579966215417,0.0307961446116678,1.00840640157121
"MBRA_S10","PRJNA819079","Mini-Chemostat Array","In_Vivo_Baseline",0.54101295680739,0.475400638999417,0.0571302924398333,0.0172163421893492,0.929699352283543
"MBRA_S11","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.218661266437266,0.69751912355423,0.0200028163380921,0.0542988796019927,0.818432064339577
"MBRA_S12","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.257866837747861,0.71221102825366,0.0204024474462494,0.0640479094116017,0.8559367494919
"MBRA_S13","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.290200837072916,0.627621656563133,0.0219545623427257,0.071638541505672,0.924997279027968
"MBRA_S14","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.188314323651139,0.68703394588083,0.0335407832707278,0.0979398564202711,0.914343230939236
"MBRA_S15","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.21934392338153,0.550789667759091,0.01116809473373,0.0697410342283547,0.892916437253092
"MBRA_S16","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.291002178413328,0.71658321605064,0.0324638615851291,0.121935583767481,0.981369273370994
"MBRA_S17","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.296733964257874,0.551466829376295,0.0303183049056679,0.0507884738733992,0.944725497862765
"MBRA_S18","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.167623104248196,0.591531794564799,0.0151379299117252,0.0875489964615554,0.880073339242679
"MBRA_S19","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.221249562234152,0.731320281559601,0.0178326389146969,0.101440770830959,0.877811386401708
"MBRA_S20","PRJNA819079","Mini-Chemostat Array","Ex_Vivo_Stabilized",0.234049911936745,0.672355728689581,0.0254323880397715,0.0501570554217324,0.847697279891813
"SHIME_S1","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.513056640401483,0.442624534452334,0.0442688799742609,0.0129689321340993,0.8989007324886
"SHIME_S2","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.445264833308756,0.401715769823641,0.0464254050329328,0.0116052893316373,0.917709702518476
"SHIME_S3","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.47744452893734,0.401656731097028,0.0529390359576792,0.0192813910264522,0.949816235387383
"SHIME_S4","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.523301100544631,0.418894502865151,0.0535871321428567,0.0255873632291332,0.955182972926991
"SHIME_S5","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.54413173802197,0.474245569198392,0.0587862916942686,0.024670559191145,0.952699968927073
